,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
0,BBC,Tue Dec 12 20:30:05 +0000 2017,'I’m talking about my rape to encourage other male victims to do the same.' https://t.co/KJuXHNo0oC https://t.co/KeO7ujanSr,-0.5719,0.142,0.558,0.3,1
1,BBC,Tue Dec 12 20:00:09 +0000 2017,"Overfishing and changing sea temperatures are pushing seabirds to the brink of extinction, according to new data. 🦅… https://t.co/Gm4wOSz6TB",0.0,0.0,1.0,0.0,2
2,BBC,Tue Dec 12 19:30:05 +0000 2017,"'The Spice Girls only had one black member and she was called Scary!' 😂
#LiveAtTheApollo via @BBCTwo. https://t.co/ttkiAvosb6",0.0,0.0,1.0,0.0,3
3,BBC,Tue Dec 12 19:19:59 +0000 2017,"RT @bbccomedy: When the help's so helpful, but you just can't stand her helping. #FirstWorldProblems #Motherland @MissDianeMorgan https://t…",-0.0062,0.112,0.775,0.113,4
4,BBC,Tue Dec 12 19:19:47 +0000 2017,"RT @bbcstories: “I’m being led by the hand by my child, not the other way around.” - Richard's son Jaco has autism, and their relationship…",0.4939,0.122,0.878,0.0,5
5,BBC,Tue Dec 12 19:19:14 +0000 2017,"RT @BBCOne: “It’s gold.” #TheAWord cast explain what is so special about the show. 

Tonight. 9pm. @BBCOne. https://t.co/hP8zufMx79",0.541,0.17,0.83,0.0,6
6,BBC,Tue Dec 12 19:19:06 +0000 2017,RT @TWBBC: If you're in Glasgow Wednesday night expand your mind with the Tomorrow's World Live show at the Science Centre - all about brai…,0.3182,0.091,0.909,0.0,7
7,BBC,Tue Dec 12 19:18:57 +0000 2017,"RT @BBCScotland: ""IT'S THE KETTLE!"" 😂

#ScotSquad 
@Gradowrestling // @Mani2thaJ https://t.co/hc1bob5blR",0.0,0.0,1.0,0.0,8
8,BBC,Tue Dec 12 19:18:27 +0000 2017,RT @BBCWomansHour: Neuroscientist @sophiescott explains how we can tell what people are REALLY thinking 👇🎥 (by reading their microexpressio…,0.0,0.0,1.0,0.0,9
9,BBC,Tue Dec 12 19:17:56 +0000 2017,RT @BBC6Music: ✂️ ✂️ Scissors at the ready... Make your own @NoelGallagher Christmas decoration to put on your high-flying sleigh ahead of…,0.0,0.0,1.0,0.0,10
10,BBC,Tue Dec 12 19:16:42 +0000 2017,"RT @BBCSpringwatch: 10 glorious photos of British wildlife in the snow
https://t.co/Ap7kaHaozX https://t.co/hEeEvk6hSN",0.6369,0.259,0.741,0.0,11
11,BBC,Tue Dec 12 19:00:03 +0000 2017,"In the 3rd episode of @TWBBC Live, we explore how today’s scientific research &amp; technology is changing how we care… https://t.co/4zopZ7DvfC",0.0,0.0,1.0,0.0,12
12,BBC,Tue Dec 12 18:30:05 +0000 2017,"Will we get a white Christmas? 🌨🎄
We actually get snow on Christmas Day more often than you might think - but it de… https://t.co/6Yyu2Uuux0",0.0,0.0,1.0,0.0,13
13,BBC,Tue Dec 12 18:00:07 +0000 2017,"🎅🎄 Some of the best Christmas world records: Instadogs, Susan Boyle and surfing Santas. https://t.co/MKT10qhvmL https://t.co/PdthEWx1ew",0.6369,0.219,0.781,0.0,14
14,BBC,Tue Dec 12 17:30:05 +0000 2017,"Vinny Singh breaks down the questions that a Sikh gets asked. 
Via @BBCTheSocial. https://t.co/TzDifjETu6",0.0,0.0,1.0,0.0,15
15,BBC,Tue Dec 12 16:58:17 +0000 2017,National treasures @Dawn_French &amp; Jennifer Saunders (@ferrifrump) are back together this festive season with a spec… https://t.co/7zRCfpqGN7,0.743,0.31,0.69,0.0,16
16,BBC,Tue Dec 12 16:30:01 +0000 2017,😍📸 Your pictures of beautiful Scotland from last week. Via @BBCScotland. https://t.co/oCDu9gmx6j,0.5994,0.262,0.738,0.0,17
17,BBC,Tue Dec 12 16:07:17 +0000 2017,"RT @bbc5live: ""Tom gave the ultimate gift"" 

Lisa donated her son's organs after he died two years ago. https://t.co/DfvkAgRnoF",-0.1779,0.123,0.723,0.153,18
18,BBC,Tue Dec 12 15:34:04 +0000 2017,The eight party season commandments that'll help you survive all the festivities. 😫🎄 https://t.co/2syg9lMOae https://t.co/44WFAPi0HB,0.8176,0.415,0.585,0.0,19
19,BBC,Tue Dec 12 15:05:52 +0000 2017,RT @BBCiPlayer: 🎿 Planning a ski holiday? @ClaudiaWinkle has a special message for you 😂 https://t.co/9bgFssqWxj,0.6597,0.351,0.649,0.0,20
20,BBC,Tue Dec 12 15:04:37 +0000 2017,"RT @BBCOne: #TheApprentice. Emoji style.
😁😰🙄☺️😠😏🤗 https://t.co/wVHbF7LKIZ",0.0,0.0,1.0,0.0,21
21,BBC,Tue Dec 12 15:00:10 +0000 2017,"🐋🐙 #BluePlanet2 has become @BBCiPlayer’s most popular programme of the year so far, with 4.2 million requests for t… https://t.co/m9bcExK8fz",0.4754,0.14,0.86,0.0,22
22,BBC,Tue Dec 12 14:30:09 +0000 2017,🥇 @BBCOne has announced a new Saturday night game show to launch in the run up to Sport Relief 2018.… https://t.co/26UoAkfV8d,0.4767,0.147,0.853,0.0,23
23,BBC,Tue Dec 12 14:00:05 +0000 2017,New research suggests that #ManFlu is a real thing. 😷 https://t.co/zMM12bFOCy,0.0,0.0,1.0,0.0,24
24,BBC,Tue Dec 12 13:30:04 +0000 2017,"🍪 @Nigella_Lawson's 'forgotten cookies' recipe is one to remember this Christmas. 
Full recipe here 👉… https://t.co/Ti9tNmAlsb",-0.2263,0.0,0.881,0.119,25
25,BBC,Tue Dec 12 13:00:05 +0000 2017,"🐠 In the final episode of #BluePlanet2, David Attenborough explored some of the issues facing life in the oceans.… https://t.co/LGXeb4XRnH",0.0,0.0,1.0,0.0,26
26,BBC,Tue Dec 12 12:50:40 +0000 2017,"RT @BBCR1: ⚡️ @EdSheeran just took on a HUGE Christmas song in the Live Lounge 🎄✨

https://t.co/Nu8EtGE2Go",0.4648,0.168,0.832,0.0,27
27,BBC,Tue Dec 12 12:50:26 +0000 2017,"RT @BBCR1: It's a HUGE Christmas song, but they did it! ✨

@EdSheeran, @AnneMarieIAm and @beogamusic totally nailed their cover of Fairytal…",0.3201,0.108,0.892,0.0,28
28,BBC,Tue Dec 12 12:30:01 +0000 2017,"#TheLeagueofGentlemen
Coming 18, 19 &amp; 20 December on @BBCTwo!
Via @BBCComedy. https://t.co/6kxS3Pgdwr",0.0,0.0,1.0,0.0,29
29,BBC,Tue Dec 12 12:00:09 +0000 2017,🎸📄🥁 6 dramatic ways pop stars tried to get out of their record contract. https://t.co/OR4LXmoqPa https://t.co/tzXmCm7qbu,0.0,0.0,1.0,0.0,30
30,BBC,Tue Dec 12 10:53:45 +0000 2017,"RT @BBCTwo: How do you stage a nativity in the car park of a Bethlehem hotel? And, more importantly, how do you make it snow? #TheAlternati…",0.4503,0.114,0.886,0.0,31
31,BBC,Tue Dec 12 10:52:21 +0000 2017,"RT @BBCFOUR: Transit vans, transport cafes, B&amp;Bs and roadies. It's all glamour in the world of rock 'n' roll on the road. Watch now on @BBC…",0.5267,0.12,0.88,0.0,32
32,BBC,Tue Dec 12 10:46:48 +0000 2017,"RT @BBC6Music: 😎 What was your favourite song and album of 2017? 

@BBC6Breakfast are warming up for Thursday’s 6 Music Recommends Best of…",0.7717,0.3,0.7,0.0,33
33,BBC,Tue Dec 12 10:46:26 +0000 2017,"RT @bbcmusic: TODAY IS THE DAY 🙌
@EdSheeran joins @BBCR1 for a festive Live Lounge today from 12pm
Listen to @ClaraAmfo live from 12pm 👉 ht…",0.4588,0.12,0.88,0.0,34
34,BBC,Tue Dec 12 10:38:16 +0000 2017,@bbcstories Watch the full story on @BBCiPlayer 👉 https://t.co/YJEr8AwTW5,0.0,0.0,1.0,0.0,35
35,BBC,Tue Dec 12 10:33:47 +0000 2017,RT @bbc5live: Former footballer Clarke Carlisle was reported missing by his wife earlier this year and was found safe as he struggled with…,-0.1779,0.105,0.727,0.167,36
36,BBC,Tue Dec 12 09:43:09 +0000 2017,RT @bbcpress: Duke and Duchess of Cambridge awarded a Gold #BluePeter Badge: https://t.co/an7MZsZyHr @KensingtonRoyal @CBBC https://t.co/uF…,0.4019,0.162,0.838,0.0,37
37,BBC,Tue Dec 12 09:00:06 +0000 2017,"Is the sea really blue? 🌊
Variation in sea colour, it turns out, is due to both physics and biology.… https://t.co/QdQWVAJU3A",0.0,0.0,1.0,0.0,38
38,BBC,Tue Dec 12 08:40:01 +0000 2017,"The amazing story of one daughter, two families a world apart, and a reunion 20 years in the making. ❤️ Via… https://t.co/ERruKhHI4s",0.5859,0.167,0.833,0.0,39
39,BBC,Tue Dec 12 08:37:40 +0000 2017,"RT @bbcpress: Danny Boyle directs Banksy’s #Alternativity performance for new @BBCTwo film, to be aired on 17 December: https://t.co/Yz6zoj…",0.0,0.0,1.0,0.0,40
40,BBC,Tue Dec 12 08:37:09 +0000 2017,"RT @bbcstories: ""My background can never be my weakness.""
The daughters of sex workers, these girls grew up in Mumbai's red light district.…",0.0,0.0,1.0,0.0,41
41,BBC,Tue Dec 12 08:37:01 +0000 2017,RT @BBC_Teach: SciTube is our brand new Primary Science series exploring the work of the world's most famous scientists through 'vlog-style…,0.0,0.0,1.0,0.0,42
42,BBC,Tue Dec 12 08:36:40 +0000 2017,"RT @BBCOne: ✨ @mermhart, @NiallOfficial, Midnight Gameshow AND the most ambitious Unexpected Star surprise ever - it can only be #MichaelMc…",0.6697,0.244,0.756,0.0,43
43,BBC,Tue Dec 12 08:36:18 +0000 2017,"RT @AboutTheBBC: We're saddened to hear of the passing of Keith Chegwin who was a presenter on Multi-Coloured Swap Shop, Cheggers Plays Pop…",-0.34,0.079,0.787,0.134,44
44,BBC,Tue Dec 12 08:36:06 +0000 2017,"RT @BBCEarth: “We need to act now and we need to act together"" 💙
#BluePlanet2 https://t.co/DcORM5aHkD",0.0,0.0,1.0,0.0,45
45,BBC,Tue Dec 12 08:20:04 +0000 2017,"If Armageddon hit, and only one human couple was left, would they be enough to repopulate the planet? 👫🌍… https://t.co/wGv3fnkENp",0.0,0.0,1.0,0.0,46
46,BBC,Tue Dec 12 08:00:03 +0000 2017,"The Scottish Crossbill, one of the country's most unique birds, is at threat of extinction. 🐦💔
Via @BBCScotland. https://t.co/w5UHkB5y6i",-0.5267,0.0,0.841,0.159,47
47,BBC,Tue Dec 12 07:38:04 +0000 2017,Frida Kahlo &amp; Diego Rivera painted each other for 25 years. Those works give us an insight into their complex relat… https://t.co/GqYkKAWccJ,0.0,0.0,1.0,0.0,48
48,BBC,Mon Dec 11 20:00:06 +0000 2017,Seven charts that explain the plastic pollution problem. 📊 https://t.co/lunEPtp1f1 https://t.co/T4zi0jF6zO,-0.4019,0.0,0.769,0.231,49
49,BBC,Mon Dec 11 19:30:11 +0000 2017,"🎄😋 @Nigella_Lawson decamps to the countryside for her cosiest Christmas yet, against a backdrop of crackling log fi… https://t.co/fwrCQbIE3o",0.0,0.0,1.0,0.0,50
50,BBC,Mon Dec 11 19:00:03 +0000 2017,👴💕👵 Care home residents across the UK are decorating their walking frames as part of a project called #PimpMyZimmer… https://t.co/VDZz3ly5oG,0.4939,0.151,0.849,0.0,51
51,BBC,Mon Dec 11 18:30:06 +0000 2017,"In the last 50,000 years, around 101 billion people have lived &amp; died on planet Earth. So what will we do with all… https://t.co/NpeQCCauhP",-0.5574,0.0,0.865,0.135,52
